,estacion,concentracion,dt
5122,50,3.0,2019-04-03 19:00:00
5129,38,5.0,2019-04-03 19:00:00
5144,47,2.0,2019-04-03 19:00:00
5163,24,1.0,2019-04-03 19:00:00
5169,8,10.0,2019-04-03 20:00:00
5185,38,4.0,2019-04-03 20:00:00
5195,47,4.0,2019-04-03 20:00:00
5203,48,2.0,2019-04-03 20:00:00
5230,50,2.0,2019-04-03 20:00:00
5240,24,3.0,2019-04-03 20:00:00
5249,24,4.0,2019-04-03 21:00:00
5250,50,2.0,2019-04-03 21:00:00
5278,38,5.0,2019-04-03 21:00:00
5282,47,2.0,2019-04-03 21:00:00
5301,48,3.0,2019-04-03 21:00:00
5311,8,4.0,2019-04-03 21:00:00
5334,8,1.0,2019-04-03 22:00:00
5335,47,1.0,2019-04-03 22:00:00
5353,24,3.0,2019-04-03 22:00:00
5370,48,2.0,2019-04-03 22:00:00
5372,38,4.0,2019-04-03 22:00:00
5377,50,1.0,2019-04-03 22:00:00
5400,47,2.0,2019-04-03 23:00:00
5412,38,5.0,2019-04-03 23:00:00
5417,50,4.0,2019-04-03 23:00:00
5430,8,6.0,2019-04-03 23:00:00
5438,48,2.0,2019-04-03 23:00:00
5469,24,3.0,2019-04-03 23:00:00
5481,48,4.0,2019-04-04 00:00:00
5497,8,5.0,2019-04-04 00:00:00
5508,38,5.0,2019-04-04 00:00:00
5520,24,2.0,2019-04-04 00:00:00
5530,47,5.0,2019-04-04 00:00:00
5533,50,7.0,2019-04-04 00:00:00
5563,24,2.0,2019-04-04 01:00:00
5574,48,3.0,2019-04-04 01:00:00
5585,8,6.0,2019-04-04 01:00:00
5591,50,1.0,2019-04-04 01:00:00
5609,47,4.0,2019-04-04 01:00:00
5615,38,1.0,2019-04-04 01:00:00
5626,24,2.0,2019-04-04 02:00:00
5636,38,2.0,2019-04-04 02:00:00
5662,50,1.0,2019-04-04 02:00:00
5685,47,4.0,2019-04-04 02:00:00
5686,8,4.0,2019-04-04 02:00:00
5697,48,2.0,2019-04-04 02:00:00
5701,24,1.0,2019-04-04 03:00:00
5717,8,5.0,2019-04-04 03:00:00
5750,47,5.0,2019-04-04 03:00:00
5755,48,1.0,2019-04-04 03:00:00
5763,38,3.0,2019-04-04 03:00:00
5771,50,1.0,2019-04-04 03:00:00
5794,8,13.0,2019-04-04 04:00:00
5802,50,1.0,2019-04-04 04:00:00
5814,38,1.0,2019-04-04 04:00:00
