,estacion,concentracion,dt
2045,55,24.0,2019-04-02 02:00:00
2054,48,11.0,2019-04-02 03:00:00
2055,47,4.0,2019-04-02 03:00:00
2059,24,5.0,2019-04-02 03:00:00
2061,57,4.0,2019-04-02 03:00:00
2072,55,24.0,2019-04-02 03:00:00
2078,8,3.0,2019-04-02 03:00:00
2085,18,9.0,2019-04-02 03:00:00
2111,50,16.0,2019-04-02 03:00:00
2114,36,11.0,2019-04-02 03:00:00
2117,60,2.0,2019-04-02 03:00:00
2120,38,11.0,2019-04-02 03:00:00
2125,40,26.0,2019-04-02 03:00:00
2129,50,20.0,2019-04-02 04:00:00
2131,18,9.0,2019-04-02 04:00:00
2143,8,5.0,2019-04-02 04:00:00
2147,47,5.0,2019-04-02 04:00:00
2150,48,11.0,2019-04-02 04:00:00
2157,55,24.0,2019-04-02 04:00:00
2163,60,3.0,2019-04-02 04:00:00
2167,36,11.0,2019-04-02 04:00:00
2182,38,12.0,2019-04-02 04:00:00
2189,57,8.0,2019-04-02 04:00:00
2190,24,3.0,2019-04-02 04:00:00
2196,40,7.0,2019-04-02 04:00:00
2204,55,24.0,2019-04-02 05:00:00
2213,8,10.0,2019-04-02 05:00:00
2222,50,14.0,2019-04-02 05:00:00
2226,47,5.0,2019-04-02 05:00:00
2232,57,3.0,2019-04-02 05:00:00
2235,36,12.0,2019-04-02 05:00:00
2236,38,8.0,2019-04-02 05:00:00
2240,60,2.0,2019-04-02 05:00:00
2249,40,3.0,2019-04-02 05:00:00
2258,18,8.0,2019-04-02 05:00:00
2263,48,7.0,2019-04-02 05:00:00
2277,24,2.0,2019-04-02 05:00:00
2284,48,7.0,2019-04-02 06:00:00
2300,60,4.0,2019-04-02 06:00:00
2308,55,30.0,2019-04-02 06:00:00
2314,40,11.0,2019-04-02 06:00:00
2323,18,7.0,2019-04-02 06:00:00
2328,38,9.0,2019-04-02 06:00:00
2337,24,1.0,2019-04-02 06:00:00
2338,36,16.0,2019-04-02 06:00:00
2340,8,5.0,2019-04-02 06:00:00
2341,47,9.0,2019-04-02 06:00:00
