,estacion,concentracion,dt
2594,17,7.07,2019-04-02 10:00:00
2595,8,8.18,2019-04-02 10:00:00
2596,24,12.58,2019-04-02 10:00:00
2600,16,1.0,2019-04-02 10:00:00
2606,54,9.88,2019-04-02 10:00:00
2617,27,7.73,2019-04-02 10:00:00
2619,49,5.33,2019-04-02 10:00:00
2621,18,6.43,2019-04-02 10:00:00
2628,60,10.71,2019-04-02 10:00:00
2634,39,5.18,2019-04-02 10:00:00
2643,59,4.75,2019-04-02 10:00:00
2644,58,7.45,2019-04-02 10:00:00
2659,35,10.25,2019-04-02 10:00:00
2662,39,7.8,2019-04-02 11:00:00
2667,18,31.65,2019-04-02 11:00:00
2670,24,25.88,2019-04-02 11:00:00
2671,59,5.85,2019-04-02 11:00:00
2672,60,15.63,2019-04-02 11:00:00
2684,27,8.79,2019-04-02 11:00:00
2695,58,20.05,2019-04-02 11:00:00
2698,56,28.2,2019-04-02 11:00:00
2699,16,1.0,2019-04-02 11:00:00
2701,49,7.26,2019-04-02 11:00:00
2717,17,15.05,2019-04-02 11:00:00
2727,35,13.79,2019-04-02 11:00:00
2728,54,20.61,2019-04-02 11:00:00
2733,8,12.53,2019-04-02 11:00:00
2738,54,19.3,2019-04-02 12:00:00
2740,58,42.42,2019-04-02 12:00:00
2746,16,1.0,2019-04-02 12:00:00
2749,56,50.97,2019-04-02 12:00:00
2759,17,43.38,2019-04-02 12:00:00
2776,60,22.84,2019-04-02 12:00:00
2782,8,25.43,2019-04-02 12:00:00
2785,59,11.75,2019-04-02 12:00:00
2790,49,27.31,2019-04-02 12:00:00
2792,27,14.22,2019-04-02 12:00:00
2797,18,51.14,2019-04-02 12:00:00
2803,24,25.61,2019-04-02 12:00:00
2806,35,25.08,2019-04-02 12:00:00
2809,39,19.15,2019-04-02 12:00:00
2814,16,1.79,2019-04-02 13:00:00
2818,59,26.67,2019-04-02 13:00:00
2829,49,36.45,2019-04-02 13:00:00
2845,58,79.21,2019-04-02 13:00:00
2848,54,35.63,2019-04-02 13:00:00
2855,18,56.26,2019-04-02 13:00:00
2858,27,21.5,2019-04-02 13:00:00
2862,24,33.74,2019-04-02 13:00:00
2866,56,48.62,2019-04-02 13:00:00
2869,17,51.05,2019-04-02 13:00:00
2870,60,44.39,2019-04-02 13:00:00
2879,35,27.82,2019-04-02 13:00:00
2880,8,33.41,2019-04-02 13:00:00
2883,39,39.14,2019-04-02 13:00:00
2897,39,51.75,2019-04-02 14:00:00
2900,35,44.2,2019-04-02 14:00:00
2905,8,41.95,2019-04-02 14:00:00
2906,54,54.18,2019-04-02 14:00:00
2909,27,36.92,2019-04-02 14:00:00
2913,49,49.95,2019-04-02 14:00:00
2914,16,4.9,2019-04-02 14:00:00
2917,24,64.89,2019-04-02 14:00:00
2939,58,81.34,2019-04-02 14:00:00
2940,18,62.63,2019-04-02 14:00:00
2946,56,53.72,2019-04-02 14:00:00
2948,59,36.63,2019-04-02 14:00:00
2949,60,58.97,2019-04-02 14:00:00
2953,17,62.36,2019-04-02 14:00:00
2968,59,62.69,2019-04-02 15:00:00
