,estacion,concentracion,dt
3281,57,9.0,2019-04-02 19:00:00
3298,38,11.0,2019-04-02 19:00:00
3300,17,6.0,2019-04-02 19:00:00
3307,8,8.0,2019-04-02 19:00:00
3310,40,9.0,2019-04-02 19:00:00
3340,4,2.0,2019-04-02 19:00:00
3343,24,4.0,2019-04-02 19:00:00
3346,4,3.0,2019-04-02 20:00:00
3350,8,8.0,2019-04-02 20:00:00
3353,35,13.0,2019-04-02 20:00:00
3357,38,11.0,2019-04-02 20:00:00
3360,36,8.0,2019-04-02 20:00:00
3373,18,9.0,2019-04-02 20:00:00
3384,24,4.0,2019-04-02 20:00:00
3393,40,10.0,2019-04-02 20:00:00
3411,57,9.0,2019-04-02 20:00:00
3416,17,6.0,2019-04-02 20:00:00
3422,17,6.0,2019-04-02 21:00:00
3429,57,9.0,2019-04-02 21:00:00
3441,18,10.0,2019-04-02 21:00:00
3447,4,4.0,2019-04-02 21:00:00
3453,8,8.0,2019-04-02 21:00:00
3464,40,9.0,2019-04-02 21:00:00
3471,24,4.0,2019-04-02 21:00:00
3477,36,9.0,2019-04-02 21:00:00
3485,35,13.0,2019-04-02 21:00:00
3491,38,11.0,2019-04-02 21:00:00
3500,8,8.0,2019-04-02 22:00:00
3503,35,13.0,2019-04-02 22:00:00
3504,40,9.0,2019-04-02 22:00:00
3523,36,9.0,2019-04-02 22:00:00
3532,57,10.0,2019-04-02 22:00:00
3535,38,11.0,2019-04-02 22:00:00
3540,24,4.0,2019-04-02 22:00:00
3541,4,4.0,2019-04-02 22:00:00
3542,17,7.0,2019-04-02 22:00:00
3565,18,10.0,2019-04-02 22:00:00
3584,40,9.0,2019-04-02 23:00:00
3597,18,11.0,2019-04-02 23:00:00
3610,17,8.0,2019-04-02 23:00:00
3612,36,8.0,2019-04-02 23:00:00
3614,8,8.0,2019-04-02 23:00:00
3625,24,4.0,2019-04-02 23:00:00
3629,57,12.0,2019-04-02 23:00:00
3630,38,11.0,2019-04-02 23:00:00
3634,35,13.0,2019-04-02 23:00:00
3639,4,4.0,2019-04-02 23:00:00
3659,17,8.0,2019-04-03 00:00:00
3662,40,10.0,2019-04-03 00:00:00
3671,18,10.0,2019-04-03 00:00:00
3672,57,12.0,2019-04-03 00:00:00
3686,36,5.0,2019-04-03 00:00:00
3689,4,4.0,2019-04-03 00:00:00
3692,35,13.0,2019-04-03 00:00:00
3699,38,12.0,2019-04-03 00:00:00
3718,24,4.0,2019-04-03 00:00:00
3719,8,9.0,2019-04-03 00:00:00
3735,35,13.0,2019-04-03 01:00:00
3741,38,11.0,2019-04-03 01:00:00
3749,4,3.0,2019-04-03 01:00:00
3751,40,10.0,2019-04-03 01:00:00
3756,36,8.0,2019-04-03 01:00:00
3760,18,10.0,2019-04-03 01:00:00
3774,24,4.0,2019-04-03 01:00:00
3786,8,8.0,2019-04-03 01:00:00
3788,57,12.0,2019-04-03 01:00:00
3789,17,7.0,2019-04-03 01:00:00
3810,38,11.0,2019-04-03 02:00:00
3821,4,3.0,2019-04-03 02:00:00
3832,24,4.0,2019-04-03 02:00:00
3833,40,10.0,2019-04-03 02:00:00
3834,18,10.0,2019-04-03 02:00:00
3839,36,8.0,2019-04-03 02:00:00
3852,8,8.0,2019-04-03 02:00:00
3855,57,13.0,2019-04-03 02:00:00
3863,17,7.0,2019-04-03 02:00:00
3874,35,13.0,2019-04-03 02:00:00
3880,38,12.0,2019-04-03 03:00:00
3885,36,7.0,2019-04-03 03:00:00
3886,35,13.0,2019-04-03 03:00:00
3902,18,10.0,2019-04-03 03:00:00
3910,17,7.0,2019-04-03 03:00:00
3915,40,10.0,2019-04-03 03:00:00
3916,4,4.0,2019-04-03 03:00:00
3924,8,8.0,2019-04-03 03:00:00
3930,57,12.0,2019-04-03 03:00:00
3941,24,4.0,2019-04-03 03:00:00
3972,40,9.0,2019-04-03 04:00:00
3974,24,4.0,2019-04-03 04:00:00
3975,4,4.0,2019-04-03 04:00:00
3981,57,12.0,2019-04-03 04:00:00
3987,18,10.0,2019-04-03 04:00:00
3990,36,6.0,2019-04-03 04:00:00
3993,17,7.0,2019-04-03 04:00:00
3996,38,12.0,2019-04-03 04:00:00
3999,8,8.0,2019-04-03 04:00:00
4021,35,13.0,2019-04-03 04:00:00
4038,36,6.0,2019-04-03 05:00:00
4041,17,8.0,2019-04-03 05:00:00
4050,35,13.0,2019-04-03 05:00:00
4054,18,10.0,2019-04-03 05:00:00
4059,38,12.0,2019-04-03 05:00:00
4064,4,4.0,2019-04-03 05:00:00
4087,40,10.0,2019-04-03 05:00:00
4088,8,8.0,2019-04-03 05:00:00
4091,57,12.0,2019-04-03 05:00:00
4100,24,4.0,2019-04-03 05:00:00
4126,24,4.0,2019-04-03 06:00:00
4127,38,11.0,2019-04-03 06:00:00
4132,36,6.0,2019-04-03 06:00:00
4138,4,4.0,2019-04-03 06:00:00
4141,40,10.0,2019-04-03 06:00:00
4144,8,8.0,2019-04-03 06:00:00
4150,57,13.0,2019-04-03 06:00:00
4161,17,7.0,2019-04-03 06:00:00
4172,18,10.0,2019-04-03 06:00:00
4178,35,13.0,2019-04-03 06:00:00
4191,40,11.0,2019-04-03 07:00:00
4193,8,8.0,2019-04-03 07:00:00
4195,38,12.0,2019-04-03 07:00:00
4202,24,4.0,2019-04-03 07:00:00
4223,35,13.0,2019-04-03 07:00:00
4235,4,4.0,2019-04-03 07:00:00
4236,18,10.0,2019-04-03 07:00:00
4246,36,6.0,2019-04-03 07:00:00
4249,17,8.0,2019-04-03 07:00:00
4250,57,12.0,2019-04-03 07:00:00
4261,38,17.0,2019-04-03 08:00:00
4266,35,14.0,2019-04-03 08:00:00
4269,40,11.0,2019-04-03 08:00:00
4276,24,4.0,2019-04-03 08:00:00
4297,36,7.0,2019-04-03 08:00:00
4302,57,12.0,2019-04-03 08:00:00
4308,8,8.0,2019-04-03 08:00:00
4316,17,12.0,2019-04-03 08:00:00
4322,18,11.0,2019-04-03 08:00:00
4324,4,4.0,2019-04-03 08:00:00
4332,38,15.0,2019-04-03 09:00:00
4333,18,14.0,2019-04-03 09:00:00
4335,24,5.0,2019-04-03 09:00:00
4342,8,9.0,2019-04-03 09:00:00
4351,17,10.0,2019-04-03 09:00:00
4357,35,14.0,2019-04-03 09:00:00
4358,36,7.0,2019-04-03 09:00:00
4361,4,5.0,2019-04-03 09:00:00
4383,40,13.0,2019-04-03 09:00:00
4400,57,15.0,2019-04-03 09:00:00
4417,38,15.0,2019-04-03 10:00:00
4436,8,9.0,2019-04-03 10:00:00
4442,17,8.0,2019-04-03 10:00:00
4444,57,14.0,2019-04-03 10:00:00
4447,24,5.0,2019-04-03 10:00:00
4459,36,7.0,2019-04-03 10:00:00
4460,18,11.0,2019-04-03 10:00:00
4462,40,13.0,2019-04-03 10:00:00
4473,4,6.0,2019-04-03 10:00:00
4480,35,14.0,2019-04-03 10:00:00
4485,35,14.0,2019-04-03 11:00:00
4506,4,6.0,2019-04-03 11:00:00
4507,17,8.0,2019-04-03 11:00:00
4508,36,7.0,2019-04-03 11:00:00
4513,38,12.0,2019-04-03 11:00:00
4523,40,10.0,2019-04-03 11:00:00
4539,24,4.0,2019-04-03 11:00:00
4545,8,9.0,2019-04-03 11:00:00
4549,57,13.0,2019-04-03 11:00:00
4557,18,11.0,2019-04-03 11:00:00
4575,36,6.0,2019-04-03 12:00:00
4581,57,12.0,2019-04-03 12:00:00
4585,18,10.0,2019-04-03 12:00:00
4594,40,9.0,2019-04-03 12:00:00
4595,4,5.0,2019-04-03 12:00:00
4605,38,12.0,2019-04-03 12:00:00
4616,35,13.0,2019-04-03 12:00:00
4621,24,4.0,2019-04-03 12:00:00
4624,17,8.0,2019-04-03 12:00:00
4634,8,8.0,2019-04-03 12:00:00
4639,35,13.0,2019-04-03 13:00:00
4643,18,10.0,2019-04-03 13:00:00
4657,40,10.0,2019-04-03 13:00:00
4678,57,11.0,2019-04-03 13:00:00
4679,38,11.0,2019-04-03 13:00:00
4691,24,4.0,2019-04-03 13:00:00
4692,17,7.0,2019-04-03 13:00:00
4693,36,6.0,2019-04-03 13:00:00
4695,8,9.0,2019-04-03 13:00:00
4704,4,5.0,2019-04-03 13:00:00
4718,57,10.0,2019-04-03 14:00:00
4726,4,3.0,2019-04-03 14:00:00
4728,38,11.0,2019-04-03 14:00:00
4741,17,6.0,2019-04-03 14:00:00
4747,36,6.0,2019-04-03 14:00:00
4752,40,10.0,2019-04-03 14:00:00
4754,35,13.0,2019-04-03 14:00:00
4759,24,4.0,2019-04-03 14:00:00
4764,8,9.0,2019-04-03 14:00:00
4774,18,9.0,2019-04-03 14:00:00
4800,57,9.0,2019-04-03 15:00:00
4805,8,9.0,2019-04-03 15:00:00
4809,38,10.0,2019-04-03 15:00:00
4814,35,13.0,2019-04-03 15:00:00
4821,24,4.0,2019-04-03 15:00:00
4822,4,4.0,2019-04-03 15:00:00
4834,18,10.0,2019-04-03 15:00:00
