,estacion,concentracion,dt
1449,24,19.0,2019-04-01 19:00:00
1450,54,19.0,2019-04-01 19:00:00
1452,8,54.0,2019-04-01 19:00:00
1454,35,19.0,2019-04-01 19:00:00
1455,59,17.0,2019-04-01 19:00:00
1458,48,33.0,2019-04-01 19:00:00
1463,57,30.0,2019-04-01 19:00:00
1466,47,18.0,2019-04-01 19:00:00
1469,56,54.0,2019-04-01 19:00:00
1471,11,56.0,2019-04-01 19:00:00
1479,16,33.0,2019-04-01 19:00:00
1480,58,24.0,2019-04-01 19:00:00
1484,17,24.0,2019-04-01 19:00:00
1486,40,22.0,2019-04-01 19:00:00
1488,49,14.0,2019-04-01 19:00:00
1490,60,31.0,2019-04-01 19:00:00
1499,55,22.0,2019-04-01 19:00:00
1501,50,28.0,2019-04-01 19:00:00
1506,27,20.0,2019-04-01 19:00:00
1511,39,35.0,2019-04-01 19:00:00
1515,36,33.0,2019-04-01 19:00:00
1516,4,35.0,2019-04-01 19:00:00
1519,38,36.0,2019-04-01 19:00:00
1522,35,21.0,2019-04-01 20:00:00
1524,4,37.0,2019-04-01 20:00:00
1525,54,22.0,2019-04-01 20:00:00
1530,17,26.0,2019-04-01 20:00:00
1531,8,45.0,2019-04-01 20:00:00
1535,57,36.0,2019-04-01 20:00:00
1540,59,17.0,2019-04-01 20:00:00
1541,27,21.0,2019-04-01 20:00:00
1545,49,15.0,2019-04-01 20:00:00
1554,58,24.0,2019-04-01 20:00:00
1555,55,25.0,2019-04-01 20:00:00
1557,60,36.0,2019-04-01 20:00:00
1560,18,33.0,2019-04-01 20:00:00
1568,39,42.0,2019-04-01 20:00:00
1573,50,39.0,2019-04-01 20:00:00
1574,38,41.0,2019-04-01 20:00:00
1575,56,65.0,2019-04-01 20:00:00
1576,47,21.0,2019-04-01 20:00:00
1577,16,39.0,2019-04-01 20:00:00
1579,11,57.0,2019-04-01 20:00:00
1585,36,34.0,2019-04-01 20:00:00
1586,40,28.0,2019-04-01 20:00:00
1593,24,20.0,2019-04-01 20:00:00
1595,48,37.0,2019-04-01 20:00:00
1597,16,61.0,2019-04-01 21:00:00
1598,59,32.0,2019-04-01 21:00:00
1599,36,70.0,2019-04-01 21:00:00
1601,58,34.0,2019-04-01 21:00:00
1603,47,37.0,2019-04-01 21:00:00
1606,55,41.0,2019-04-01 21:00:00
1607,50,57.0,2019-04-01 21:00:00
1609,39,53.0,2019-04-01 21:00:00
1610,35,26.0,2019-04-01 21:00:00
1612,27,32.0,2019-04-01 21:00:00
1616,48,51.0,2019-04-01 21:00:00
1624,49,19.0,2019-04-01 21:00:00
1631,60,46.0,2019-04-01 21:00:00
1636,17,42.0,2019-04-01 21:00:00
1638,40,49.0,2019-04-01 21:00:00
1639,38,48.0,2019-04-01 21:00:00
1641,56,117.0,2019-04-01 21:00:00
1644,8,75.0,2019-04-01 21:00:00
1650,54,45.0,2019-04-01 21:00:00
1652,4,51.0,2019-04-01 21:00:00
1654,11,79.0,2019-04-01 21:00:00
1655,24,32.0,2019-04-01 21:00:00
1666,18,50.0,2019-04-01 21:00:00
1667,57,51.0,2019-04-01 21:00:00
1672,27,77.0,2019-04-01 22:00:00
1675,36,98.0,2019-04-01 22:00:00
1680,8,96.0,2019-04-01 22:00:00
1685,17,80.0,2019-04-01 22:00:00
1698,11,94.0,2019-04-01 22:00:00
1704,60,66.0,2019-04-01 22:00:00
1705,16,91.0,2019-04-01 22:00:00
1706,24,39.0,2019-04-01 22:00:00
1707,35,56.0,2019-04-01 22:00:00
1708,59,70.0,2019-04-01 22:00:00
1712,57,79.0,2019-04-01 22:00:00
1716,38,65.0,2019-04-01 22:00:00
1718,50,70.0,2019-04-01 22:00:00
1720,58,39.0,2019-04-01 22:00:00
1722,39,73.0,2019-04-01 22:00:00
1727,18,97.0,2019-04-01 22:00:00
1730,54,66.0,2019-04-01 22:00:00
1733,48,69.0,2019-04-01 22:00:00
1736,55,88.0,2019-04-01 22:00:00
1738,56,160.0,2019-04-01 22:00:00
1739,47,89.0,2019-04-01 22:00:00
1740,40,78.0,2019-04-01 22:00:00
1742,49,24.0,2019-04-01 22:00:00
1743,4,81.0,2019-04-01 22:00:00
1750,54,38.0,2019-04-01 23:00:00
1752,39,97.0,2019-04-01 23:00:00
1756,4,98.0,2019-04-01 23:00:00
1760,47,97.0,2019-04-01 23:00:00
1763,49,50.0,2019-04-01 23:00:00
1766,17,72.0,2019-04-01 23:00:00
1769,18,88.0,2019-04-01 23:00:00
1771,60,81.0,2019-04-01 23:00:00
1776,58,34.0,2019-04-01 23:00:00
1777,38,78.0,2019-04-01 23:00:00
1783,57,96.0,2019-04-01 23:00:00
1786,24,37.0,2019-04-01 23:00:00
1787,48,92.0,2019-04-01 23:00:00
1789,16,96.0,2019-04-01 23:00:00
1792,56,121.0,2019-04-01 23:00:00
1800,8,101.0,2019-04-01 23:00:00
1801,36,69.0,2019-04-01 23:00:00
1804,35,83.0,2019-04-01 23:00:00
1807,59,90.0,2019-04-01 23:00:00
1810,40,60.0,2019-04-01 23:00:00
1813,11,87.0,2019-04-01 23:00:00
1816,55,96.0,2019-04-01 23:00:00
1819,27,94.0,2019-04-01 23:00:00
1820,50,85.0,2019-04-01 23:00:00
1825,47,65.0,2019-04-02 00:00:00
1827,59,35.0,2019-04-02 00:00:00
1828,4,45.0,2019-04-02 00:00:00
1846,39,34.0,2019-04-02 00:00:00
1847,27,48.0,2019-04-02 00:00:00
1849,54,37.0,2019-04-02 00:00:00
1851,16,44.0,2019-04-02 00:00:00
1853,18,22.0,2019-04-02 00:00:00
1854,57,37.0,2019-04-02 00:00:00
1857,56,53.0,2019-04-02 00:00:00
1858,60,29.0,2019-04-02 00:00:00
1862,8,57.0,2019-04-02 00:00:00
1866,17,54.0,2019-04-02 00:00:00
1868,38,33.0,2019-04-02 00:00:00
1869,35,28.0,2019-04-02 00:00:00
1870,50,36.0,2019-04-02 00:00:00
1874,58,25.0,2019-04-02 00:00:00
1875,36,57.0,2019-04-02 00:00:00
1881,40,56.0,2019-04-02 00:00:00
1883,24,22.0,2019-04-02 00:00:00
1884,55,41.0,2019-04-02 00:00:00
1892,49,30.0,2019-04-02 00:00:00
1895,48,42.0,2019-04-02 00:00:00
1899,11,35.0,2019-04-02 00:00:00
1900,17,26.0,2019-04-02 01:00:00
1901,40,36.0,2019-04-02 01:00:00
1902,49,15.0,2019-04-02 01:00:00
1904,60,54.0,2019-04-02 01:00:00
1913,38,21.0,2019-04-02 01:00:00
1914,4,22.0,2019-04-02 01:00:00
1915,50,40.0,2019-04-02 01:00:00
1918,18,25.0,2019-04-02 01:00:00
1921,57,41.0,2019-04-02 01:00:00
1922,59,35.0,2019-04-02 01:00:00
1924,55,57.0,2019-04-02 01:00:00
1933,8,50.0,2019-04-02 01:00:00
1940,36,36.0,2019-04-02 01:00:00
1941,35,19.0,2019-04-02 01:00:00
1948,11,30.0,2019-04-02 01:00:00
1949,24,11.0,2019-04-02 01:00:00
1950,27,63.0,2019-04-02 01:00:00
1953,56,57.0,2019-04-02 01:00:00
1958,54,23.0,2019-04-02 01:00:00
1959,48,26.0,2019-04-02 01:00:00
1964,47,29.0,2019-04-02 01:00:00
1966,16,37.0,2019-04-02 01:00:00
1969,39,31.0,2019-04-02 01:00:00
1971,58,17.0,2019-04-02 01:00:00
1981,58,15.0,2019-04-02 02:00:00
1983,60,30.0,2019-04-02 02:00:00
1988,57,35.0,2019-04-02 02:00:00
1991,36,36.0,2019-04-02 02:00:00
1993,11,22.0,2019-04-02 02:00:00
1994,59,48.0,2019-04-02 02:00:00
1995,35,30.0,2019-04-02 02:00:00
1997,16,34.0,2019-04-02 02:00:00
2002,18,31.0,2019-04-02 02:00:00
2007,47,37.0,2019-04-02 02:00:00
2009,50,31.0,2019-04-02 02:00:00
2019,49,17.0,2019-04-02 02:00:00
2020,8,44.0,2019-04-02 02:00:00
2022,24,24.0,2019-04-02 02:00:00
2024,48,19.0,2019-04-02 02:00:00
2025,38,27.0,2019-04-02 02:00:00
2027,54,27.0,2019-04-02 02:00:00
2036,39,27.0,2019-04-02 02:00:00
2037,17,32.0,2019-04-02 02:00:00
2039,4,40.0,2019-04-02 02:00:00
2040,56,55.0,2019-04-02 02:00:00
2041,27,57.0,2019-04-02 02:00:00
2046,55,61.0,2019-04-02 02:00:00
2047,40,30.0,2019-04-02 02:00:00
