dt,estacion,concentracion
2019-01-02 17:00:00,16,8.22
2019-01-02 17:00:00,27,15.43
2019-01-02 17:00:00,49,10.76
2019-01-02 18:00:00,16,3.86
2019-01-02 18:00:00,59,4.09
2019-01-02 18:00:00,17,7.69
2019-01-02 18:00:00,18,4.4
2019-01-02 18:00:00,8,7.26
2019-01-02 18:00:00,60,6.16
2019-01-02 18:00:00,49,3.36
2019-01-02 18:00:00,35,16.58
2019-01-02 18:00:00,27,3.69
2019-01-02 18:00:00,56,3.76
2019-01-02 18:00:00,24,11.86
2019-01-02 18:00:00,58,8.47
2019-01-02 18:00:00,39,4.05
2019-01-02 19:00:00,35,7.33
2019-01-02 19:00:00,24,17.81
2019-01-02 19:00:00,58,8.26
2019-01-02 19:00:00,8,4.65
2019-01-02 19:00:00,16,3.09
2019-01-02 19:00:00,27,1.84
2019-01-02 19:00:00,39,2.35
2019-01-02 19:00:00,18,1.62
2019-01-02 19:00:00,17,7.2
2019-01-02 19:00:00,59,1.0
2019-01-02 19:00:00,56,3.1
2019-01-02 19:00:00,60,3.52
2019-01-02 19:00:00,49,1.79
2019-01-02 20:00:00,16,3.07
2019-01-02 20:00:00,58,4.18
2019-01-02 20:00:00,18,1.47
2019-01-02 20:00:00,27,1.87
2019-01-02 20:00:00,59,1.0
2019-01-02 20:00:00,49,1.99
2019-01-02 20:00:00,35,7.43
2019-01-02 20:00:00,39,1.6
2019-01-02 20:00:00,24,3.7
2019-01-02 20:00:00,60,3.61
2019-01-02 20:00:00,56,3.45
2019-01-02 20:00:00,17,7.48
2019-01-02 20:00:00,8,5.29
2019-01-02 21:00:00,27,2.41
2019-01-02 21:00:00,18,1.13
2019-01-02 21:00:00,8,5.46
2019-01-02 21:00:00,17,7.88
2019-01-02 21:00:00,24,2.95
2019-01-02 21:00:00,35,6.56
2019-01-02 21:00:00,39,1.53
2019-01-02 21:00:00,49,1.73
2019-01-02 21:00:00,60,3.25
2019-01-02 21:00:00,56,3.47
2019-01-02 21:00:00,58,4.03
2019-01-02 21:00:00,16,2.74
2019-01-02 21:00:00,59,1.0
2019-01-02 22:00:00,16,2.32
2019-01-02 22:00:00,58,2.83
2019-01-02 22:00:00,59,1.0
2019-01-02 22:00:00,18,1.57
2019-01-02 22:00:00,8,5.04
2019-01-02 22:00:00,39,2.02
2019-01-02 22:00:00,60,3.93
2019-01-02 22:00:00,24,2.94
2019-01-02 22:00:00,17,7.45
2019-01-02 22:00:00,27,2.78
2019-01-02 22:00:00,56,3.32
2019-01-02 22:00:00,49,1.9
2019-01-02 22:00:00,35,6.83
2019-01-02 23:00:00,58,2.92
2019-01-02 23:00:00,18,1.36
2019-01-02 23:00:00,17,7.36
2019-01-02 23:00:00,8,5.03
2019-01-02 23:00:00,59,1.0
2019-01-02 23:00:00,60,16.77
2019-01-02 23:00:00,16,1.93
2019-01-02 23:00:00,39,5.93
2019-01-02 23:00:00,49,2.47
2019-01-02 23:00:00,24,3.19
2019-01-02 23:00:00,27,2.92
2019-01-02 23:00:00,35,7.26
2019-01-02 23:00:00,56,3.35
2019-01-03 00:00:00,8,5.45
2019-01-03 00:00:00,17,7.15
2019-01-03 00:00:00,60,2.45
2019-01-03 00:00:00,59,17.3
2019-01-03 00:00:00,39,2.15
2019-01-03 00:00:00,58,3.11
2019-01-03 00:00:00,35,7.18
2019-01-03 00:00:00,49,2.21
2019-01-03 00:00:00,56,3.37
2019-01-03 00:00:00,24,3.26
2019-01-03 00:00:00,16,8.67
2019-01-03 00:00:00,27,4.93
2019-01-03 00:00:00,18,1.31
2019-01-03 01:00:00,49,36.47
2019-01-03 01:00:00,8,36.68
2019-01-03 01:00:00,17,6.67
2019-01-03 01:00:00,16,34.09
2019-01-03 01:00:00,59,15.28
2019-01-03 01:00:00,27,4.46
2019-01-03 01:00:00,56,3.14
2019-01-03 01:00:00,24,2.94
2019-01-03 01:00:00,58,4.04
2019-01-03 01:00:00,35,34.54
2019-01-03 01:00:00,60,25.22
2019-01-03 01:00:00,18,1.47
2019-01-03 01:00:00,39,25.55
2019-01-03 02:00:00,17,7.03
2019-01-03 02:00:00,18,1.32
2019-01-03 02:00:00,16,41.2
2019-01-03 02:00:00,8,43.36
2019-01-03 02:00:00,58,1.56
2019-01-03 02:00:00,39,38.93
2019-01-03 02:00:00,35,41.39
2019-01-03 02:00:00,60,37.51
2019-01-03 02:00:00,24,7.68
2019-01-03 02:00:00,59,9.45
2019-01-03 02:00:00,56,3.17
2019-01-03 02:00:00,27,8.06
2019-01-03 02:00:00,49,37.72
2019-01-03 03:00:00,27,5.08
2019-01-03 03:00:00,24,15.43
2019-01-03 03:00:00,35,39.87
2019-01-03 03:00:00,60,43.56
2019-01-03 03:00:00,16,39.98
2019-01-03 03:00:00,18,1.63
2019-01-03 03:00:00,8,43.35
2019-01-03 03:00:00,59,23.61
2019-01-03 03:00:00,49,42.35
2019-01-03 03:00:00,17,7.11
2019-01-03 03:00:00,58,3.77
2019-01-03 03:00:00,39,37.01
2019-01-03 03:00:00,56,3.14
2019-01-03 04:00:00,24,14.62
2019-01-03 04:00:00,35,43.73
2019-01-03 04:00:00,18,1.67
2019-01-03 04:00:00,49,42.42
2019-01-03 04:00:00,56,3.18
2019-01-03 04:00:00,8,44.12
2019-01-03 04:00:00,17,7.11
2019-01-03 04:00:00,27,12.63
2019-01-03 04:00:00,59,26.85
2019-01-03 04:00:00,60,48.73
2019-01-03 04:00:00,39,37.55
2019-01-03 04:00:00,58,2.95
2019-01-03 04:00:00,16,47.06
2019-01-03 05:00:00,58,10.57
2019-01-03 05:00:00,59,33.42
2019-01-03 05:00:00,16,43.7
2019-01-03 05:00:00,17,6.99
2019-01-03 05:00:00,24,18.4
2019-01-03 05:00:00,60,50.11
2019-01-03 05:00:00,18,1.47
2019-01-03 05:00:00,8,42.76
2019-01-03 05:00:00,39,33.21
2019-01-03 05:00:00,49,41.32
2019-01-03 05:00:00,27,17.33
2019-01-03 05:00:00,56,3.09
2019-01-03 05:00:00,35,41.65
2019-01-03 06:00:00,60,39.02
2019-01-03 06:00:00,27,13.56
2019-01-03 06:00:00,17,6.88
2019-01-03 06:00:00,35,39.17
2019-01-03 06:00:00,39,30.36
2019-01-03 06:00:00,16,40.81
2019-01-03 06:00:00,24,15.66
2019-01-03 06:00:00,59,33.85
2019-01-03 06:00:00,8,40.51
2019-01-03 06:00:00,18,1.15
2019-01-03 06:00:00,58,11.9
2019-01-03 06:00:00,49,36.74
2019-01-03 06:00:00,56,3.3
2019-01-03 07:00:00,60,22.37
2019-01-03 07:00:00,17,6.86
2019-01-03 07:00:00,35,25.22
2019-01-03 07:00:00,56,3.05
2019-01-03 07:00:00,16,22.98
2019-01-03 07:00:00,39,21.93
2019-01-03 07:00:00,58,7.82
2019-01-03 07:00:00,49,23.66
2019-01-03 07:00:00,59,22.38
2019-01-03 07:00:00,8,23.8
2019-01-03 07:00:00,18,1.07
2019-01-03 07:00:00,24,27.2
2019-01-03 07:00:00,27,2.91
2019-01-03 08:00:00,39,4.89
2019-01-03 08:00:00,18,1.27
2019-01-03 08:00:00,8,8.98
2019-01-03 08:00:00,59,11.76
2019-01-03 08:00:00,16,6.75
2019-01-03 08:00:00,35,9.91
